3.0898	11.531
2.237	11.727
1.3721	11.859
0.49991	11.928
-0.37498	11.932
-1.2479	11.873
-2.114	11.749
-2.9689	11.563
-3.8077	11.314
-4.6262	11.005
-5.4197	10.637
-6.1842	10.211
-6.9155	9.731
-7.6096	9.1984
-8.2628	8.6164
-8.8717	7.9881
-9.4329	7.3169
-9.9434	6.6064
-10.401	5.8604
-10.802	5.083
-11.145	4.2782
-11.428	3.4505
-11.65	2.6042
-11.81	1.7439
-11.906	0.87432
-11.938	2.3687e-014
-11.906	-0.87432
-11.81	-1.7439
-11.65	-2.6042
-11.428	-3.4505
-11.145	-4.2782
-10.802	-5.083
-10.401	-5.8604
-9.9434	-6.6064
-9.4329	-7.3169
-8.8717	-7.9881
-8.2628	-8.6164
-7.6096	-9.1984
-6.9155	-9.731
-6.1842	-10.211
-5.4197	-10.637
-4.6262	-11.005
-3.8077	-11.314
-2.9689	-11.563
-2.114	-11.749
-1.2479	-11.873
-0.37498	-11.932
0.49991	-11.928
1.3721	-11.859
2.237	-11.727
37.338	0
3.0898	11.531
